City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,conduaga,8.862,117.4893,79.86,82,5,6.29,PH,Mon Dec 11 10:58:25 2023
1,oamaru,-45.0784,170.9801,52.38,86,100,11.74,NZ,Mon Dec 11 10:58:25 2023
2,basco,20.4487,121.9702,79.72,78,14,12.77,PH,Mon Dec 11 10:58:25 2023
3,palikir - national government center,6.9248,158.1611,81.34,83,40,5.75,FM,Mon Dec 11 10:58:25 2023
4,howrah,22.5892,88.3103,68.0,68,0,3.44,IN,Mon Dec 11 10:58:26 2023
5,hermanus,-34.4187,19.2345,66.99,66,0,9.24,ZA,Mon Dec 11 10:58:26 2023
6,port isabel,26.0734,-97.2086,63.03,71,0,0.0,US,Mon Dec 11 10:58:26 2023
7,micheweni,-4.9667,39.8333,81.25,79,80,6.33,TZ,Mon Dec 11 10:58:26 2023
8,whitehorse,60.7161,-135.0538,21.97,86,75,21.85,CA,Mon Dec 11 10:58:26 2023
9,avarua,-21.2078,-159.775,77.05,88,75,24.16,CK,Mon Dec 11 10:58:26 2023
10,puerto quijarro,-17.7833,-57.7667,103.17,32,84,4.52,BO,Mon Dec 11 10:58:26 2023
11,ataq,14.5377,46.8319,65.77,22,5,5.28,YE,Mon Dec 11 10:58:27 2023
12,san salvador de jujuy,-24.1946,-65.2971,78.33,47,79,7.81,AR,Mon Dec 11 10:58:27 2023
13,edinburgh of the seven seas,-37.0676,-12.3116,55.74,83,100,19.91,SH,Mon Dec 11 10:58:27 2023
14,grytviken,-54.2811,-36.5092,40.44,91,98,11.77,GS,Mon Dec 11 10:58:27 2023
15,kavarna,43.4333,28.3333,38.57,98,99,4.76,BG,Mon Dec 11 10:58:27 2023
16,puerto ayora,-0.7393,-90.3518,82.36,77,45,8.9,EC,Mon Dec 11 10:58:27 2023
17,petropavlovsk-kamchatsky,53.0452,158.6483,21.79,87,75,17.0,RU,Mon Dec 11 10:58:27 2023
18,utrik,11.2278,169.8474,80.78,79,55,18.59,MH,Mon Dec 11 10:58:27 2023
19,wewak,-3.5534,143.6268,79.59,90,91,14.25,PG,Mon Dec 11 10:58:28 2023
20,puerto natales,-51.7236,-72.4875,52.25,46,75,11.5,CL,Mon Dec 11 10:58:28 2023
21,san patricio,28.017,-97.5169,61.86,25,86,4.27,US,Mon Dec 11 10:58:28 2023
22,ribeira grande,38.5167,-28.7,63.77,77,40,13.8,PT,Mon Dec 11 10:58:28 2023
23,sayre,41.979,-76.5155,37.65,61,67,13.82,US,Mon Dec 11 10:58:28 2023
24,albany,42.6001,-73.9662,38.64,87,98,3.0,US,Mon Dec 11 10:58:28 2023
25,badger,64.8,-147.5333,17.47,73,100,4.61,US,Mon Dec 11 10:58:29 2023
26,invercargill,-46.4,168.35,46.18,80,59,18.34,NZ,Mon Dec 11 10:58:29 2023
27,kupang,-10.1667,123.5833,81.18,100,20,1.14,ID,Mon Dec 11 10:54:35 2023
28,namibe,-15.1961,12.1522,74.26,68,72,12.24,AO,Mon Dec 11 10:58:29 2023
29,tiksi,71.6872,128.8694,-10.37,99,100,9.01,RU,Mon Dec 11 10:58:29 2023
30,port elizabeth,-33.918,25.5701,73.69,73,20,13.8,ZA,Mon Dec 11 10:58:29 2023
31,dudinka,69.4058,86.1778,-12.32,98,100,14.0,RU,Mon Dec 11 10:58:29 2023
32,lihue,21.9789,-159.3672,76.59,86,100,11.5,US,Mon Dec 11 10:58:29 2023
33,kanazawa,36.5944,136.6256,48.2,91,100,11.56,JP,Mon Dec 11 10:54:19 2023
34,baissa,7.2333,10.6333,90.73,20,28,3.76,NG,Mon Dec 11 10:58:30 2023
35,adamstown,-25.066,-130.1015,70.29,60,5,4.94,PN,Mon Dec 11 10:58:30 2023
